Name,8N_x error,8N_y error,Elevation error,8N_x corr,8N_y corr,Elevation corr
401.0,0.012521803802619419,0.014685447622618272,0.023457866359378455,542601.5066136012,6506125.439700835,1289.6891928273951
402.0,0.012521803802619419,0.015383834758494537,0.023457866359378455,542352.5682136012,6506303.462700835,1289.335192827395
403.0,0.012521803802619419,0.015383834758494537,0.023457866359378455,542119.5455136013,6506476.715700836,1290.517192827395
404.0,0.012521803802619419,0.015383834758494537,0.023457866359378455,541871.8408136013,6506656.294700836,1290.291192827395
405.0,0.012521803802619419,0.014685447622618272,0.023457866359378455,541623.5990136012,6506824.8667008355,1289.9851928273952
406.0,0.012521803802619419,0.014685447622618272,0.023901286453545955,541384.9817136013,6507003.2587008355,1288.771192827395
407.0,0.016786767719584796,0.027215112931543474,0.023901286453545955,541171.5025136012,6507036.705700836,1323.5631928273951
408.0,0.012521803802619419,0.014685447622618272,0.023457866359378455,542116.8352136012,6506477.569700836,1290.4651928273952
409.0,0.012521803802619419,0.014685447622618272,0.023901286453545955,542921.9718136012,6505904.053700835,1305.394192827395
410.0,0.012521803802619419,0.014685447622618272,0.025421870390167193,543089.1830136012,6505786.8777008355,1309.396192827395
411.0,0.012521803802619419,0.014685447622618272,0.02437768434725619,543336.7463136013,6505612.394700835,1311.791192827395
412.0,0.012521803802619419,0.014685447622618272,0.023457866359378455,543593.7013136012,6505441.539700836,1312.316192827395
413.0,0.012521803802619419,0.014685447622618272,0.02437768434725619,543820.6410136012,6505263.850700836,1314.3041928273951
102.0,0.009271229829686384,0.009260996226634784,0.018139127447665226,546007.8363107137,6501023.459111884,1190.735470569181
108.0,0.010203010413986573,0.011000410160263457,0.053499262238011505,546007.8202617698,6501023.491372702,1190.7471995833334
151.0,0.010935460406128687,0.012733865750826284,0.024319567577497377,547376.7649350852,6508335.568073427,1557.0493119499768
152.0,0.007536283598120105,0.010754644200375234,0.02121960164881658,547376.7569591991,6508335.567891236,1557.0581928273948
